"None","E(keV)","psi0rSi111","psi0iSi111","psihrSi111","psihiSi111","psihbrSi111","psihbiSi111"
398,21.85000,-2.0283E-006,6.5442E-009,0.000001068,4.567E-009,0.000001068,4.567E-009
399,21.90000,-0.000002019,6.4842E-009,1.0631E-006,4.5251E-009,1.0631E-006,4.5251E-009
400,21.95000,-2.0098E-006,6.4249E-009,1.0583E-006,4.4837E-009,1.0583E-006,4.4837E-009
401,22.00000,-2.0006E-006,6.3662E-009,1.0534E-006,4.4428E-009,1.0534E-006,4.4428E-009
402,22.05000,-1.9915E-006,6.3082E-009,1.0487E-006,4.4023E-009,1.0487E-006,4.4023E-009
403,22.10000,-1.9825E-006,6.2509E-009,1.0439E-006,4.3623E-009,1.0439E-006,4.3623E-009
404,22.15000,-1.9735E-006,6.1942E-009,1.0392E-006,4.3228E-009,1.0392E-006,4.3228E-009
405,22.20000,-1.9646E-006,6.1382E-009,1.0345E-006,4.2837E-009,1.0345E-006,4.2837E-009
406,22.25000,-1.9558E-006,6.0827E-009,1.0298E-006,4.245E-009,1.0298E-006,4.245E-009
407,22.30000,-0.000001947,0.000000006,1.0252E-006,4.2068E-009,1.0252E-006,4.2068E-009
408,22.35000,-1.9383E-006,0.000000006,1.0206E-006,4.1689E-009,1.0206E-006,4.1689E-009
409,22.40000,-1.9296E-006,5.9202E-009,0.000001016,4.1316E-009,0.000001016,4.1316E-009
410,22.45000,-0.000001921,5.8672E-009,1.0115E-006,4.0946E-009,1.0115E-006,4.0946E-009
411,22.50000,-1.9124E-006,5.8148E-009,0.000001007,4.058E-009,0.000001007,4.058E-009
412,22.55000,-1.9039E-006,5.763E-009,1.0025E-006,0.000000004,1.0025E-006,0.000000004
413,22.60000,-1.8955E-006,5.7117E-009,0.000000998,0.000000004,0.000000998,0.000000004
414,22.65000,-1.8871E-006,5.6611E-009,9.9361E-007,0.000000004,9.9361E-007,0.000000004
415,22.70000,-1.8788E-006,5.6109E-009,9.8922E-007,3.9158E-009,9.8922E-007,3.9158E-009
416,22.75000,-1.8705E-006,5.5614E-009,9.8486E-007,3.8812E-009,9.8486E-007,3.8812E-009
417,22.80000,-1.8623E-006,5.5123E-009,9.8053E-007,3.847E-009,9.8053E-007,3.847E-009
418,22.85000,-1.8541E-006,5.4639E-009,9.7622E-007,3.8132E-009,9.7622E-007,3.8132E-009
419,22.90000,-0.000001846,5.4159E-009,0.000000972,3.7797E-009,0.000000972,3.7797E-009
420,22.95000,-1.8379E-006,5.3685E-009,9.677E-007,3.7466E-009,9.677E-007,3.7466E-009
421,23.00000,-1.8299E-006,5.3216E-009,9.6348E-007,3.7139E-009,9.6348E-007,3.7139E-009
422,23.05000,-0.000001822,5.2751E-009,9.5929E-007,3.6815E-009,9.5929E-007,3.6815E-009
423,23.10000,-1.8141E-006,5.2292E-009,9.5512E-007,3.6495E-009,9.5512E-007,3.6495E-009
424,23.15000,-1.8062E-006,5.1838E-009,0.000000951,3.6178E-009,0.000000951,3.6178E-009
425,23.20000,-1.7984E-006,5.1389E-009,9.4687E-007,3.5865E-009,9.4687E-007,3.5865E-009
426,23.25000,-1.7907E-006,5.0945E-009,9.4279E-007,3.5555E-009,9.4279E-007,3.5555E-009
427,23.30000,-0.000001783,5.0505E-009,9.3873E-007,3.5248E-009,9.3873E-007,3.5248E-009
428,23.35000,-1.7753E-006,0.000000005,9.347E-007,3.4944E-009,9.347E-007,3.4944E-009
429,23.40000,-1.7677E-006,0.000000005,9.3069E-007,3.4644E-009,9.3069E-007,3.4644E-009
430,23.45000,-1.7602E-006,4.9214E-009,9.2671E-007,3.4347E-009,9.2671E-007,3.4347E-009
431,23.50000,-1.7527E-006,4.8793E-009,9.2276E-007,3.4053E-009,9.2276E-007,3.4053E-009
432,23.55000,-1.7452E-006,4.8377E-009,9.1883E-007,3.3763E-009,9.1883E-007,3.3763E-009
433,23.60000,-1.7378E-006,4.7964E-009,9.1493E-007,3.3475E-009,9.1493E-007,3.3475E-009
434,23.65000,-1.7304E-006,4.7557E-009,9.1105E-007,3.319E-009,9.1105E-007,3.319E-009
435,23.70000,-1.7231E-006,4.7153E-009,9.0719E-007,3.2909E-009,9.0719E-007,3.2909E-009
436,23.75000,-1.7159E-006,4.6754E-009,9.0336E-007,3.263E-009,9.0336E-007,3.263E-009
